sender_id,country,feed type,date,company_names,receiver_id,points,manager_id
1448843,India,award,10/17/2022,E,1449672,5000,1448843
1448843,United Kingdom,award,10/17/2022,E,1452428,18000,1828504
1448843,Singapore,award,10/17/2022,E,1441662,40000,1825603
1440855,India,award,12/22/2022,E,1440851,15000,1822534
1440855,India,award,12/22/2022,E,1453627,15000,1822550
1440855,India,award,12/22/2022,E,1443194,15000,1824693
1440855,India,award,12/22/2022,E,1453620,15000,1822547
1440855,United States,award,12/22/2022,E,1810946,70000,1455043
1440851,India,award,10/13/2022,E,1444647,7500,1674277
1440851,India,award,10/13/2022,E,1447632,7500,1780335
1440855,India,award,12/6/2022,E,1440852,1000,1828665
1440855,India,award,10/17/2022,E,1440852,1000,1828663
1828504,United States,award,10/1/2022,TLE,1828214,500,1828355
1828504,United States,award,10/1/2022,TLE,1828119,2500,1827980
1828504,United States,badge,10/1/2022,TLE,1828119,0,1519300
1828504,United States,badge,10/1/2022,TLE,1828118,0,1820659
1819488,Australia,award,10/3/2022,WW,1819490,100,1440967
1825603,United States,award,10/3/2022,CAT,1825120,5000,1696929
1828504,United States,badge,10/4/2022,TLE,1828357,0,1448519
1828504,United States,award,10/4/2022,TLE,1828119,5000,1669420
1822537,India,badge,10/4/2022,POH,1822535,0,1822525
1822534,India,badge,10/6/2022,POH,1822529,0,1828704
1822548,India,badge,10/6/2022,POH,1822546,0,1828679
1822548,India,badge,10/6/2022,POH,1822545,0,1666919
1822548,India,badge,10/6/2022,POH,1822525,0,1828660
1822537,India,badge,10/6/2022,POH,1822540,0,1828699
1822534,India,badge,10/6/2022,POH,1822530,0,1752866
1822550,India,wish,10/6/2022,POH,1819545,0,1828989
1824693,United States,award,10/6/2022,CAT,1823173,5000,1822538
1822547,India,award,10/7/2022,POH,1822539,5000,1828653
1822871,India,award,10/9/2022,CAT,1822876,4000,1829247
1822871,India,award,10/9/2022,CAT,1822868,0,1764617
1822871,India,award,10/9/2022,CAT,1822915,0,1828659
1822871,India,award,10/9/2022,CAT,1822870,0,1830804
1822871,India,award,10/9/2022,CAT,1822916,0,1827890
1822547,India,badge,10/7/2022,POH,1822539,0,1825566
1822547,India,badge,10/7/2022,POH,1822539,0,1067672
1455043,India,award,10/7/2022,F,1826330,100,1813978
1825804,New Zealand,badge,10/7/2022,CAT,1824743,0,1838905
1825804,New Zealand,award,10/7/2022,CAT,1824737,8000,1839389
1674277,India,award,10/10/2022,I,1674270,1500,1859912
1674277,India,award,10/10/2022,I,1674276,1000,1826247
1674277,India,award,10/10/2022,I,1674268,1000,1838908
1455043,India,award,10/7/2022,F,1455045,0,1819548
1780335,India,badge,10/10/2022,W,1814354,0,1839468
1819490,Australia,badge,10/11/2022,WW,1819488,0,1860080
1828665,India,award,10/11/2022,SAT,1828662,0,1819769
1828665,India,award,10/11/2022,SAT,1819540,0,1833095
1823546,India,award,10/11/2022,CAT,1822869,4000,1833069
1823546,Australia,badge,10/11/2022,CAT,1827674,0,1834351
1823546,India,award,10/11/2022,CAT,1822873,4000,1833094
1828665,India,award,10/11/2022,SAT,1828663,0,1833086
1828662,India,award,10/11/2022,SAT,1828659,0,1834353
1828663,India,award,10/11/2022,SAT,1828665,0,1891490
1828355,United States,badge,10/12/2022,TLE,1827995,0,1891355
1828355,United States,badge,10/12/2022,TLE,1828354,0,1891387
1828355,United States,award,10/12/2022,TLE,1827995,5000,1891425
1828355,United States,wish,10/12/2022,TLE,1827995,0,1891349
1440855,India,badge,10/12/2022,E,1722065,0,1891394
1780335,India,badge,10/12/2022,W,1814354,0,1891452
1780335,India,badge,10/12/2022,W,1814354,0,1891499
1828118,United States,badge,10/13/2022,TLE,1828119,0,1891684
1828663,India,award,10/13/2022,SAT,1828665,0,1891681
1828663,India,award,10/13/2022,SAT,1828678,0,1891682
1828664,India,award,10/13/2022,SAT,1828663,0,1891686
1828664,India,award,10/13/2022,SAT,1828662,0,1891688
1828664,India,award,10/13/2022,SAT,1828662,0,1891704
1780335,India,badge,10/13/2022,W,1814354,0,1838946
1780335,India,badge,10/13/2022,W,1814354,0,1839047
1780335,India,badge,10/13/2022,W,1814354,0,1669419
1440855,India,award,10/13/2022,E,1440851,500,1827941
1828389,United States,badge,10/13/2022,TLE,1828247,0,1830768
1828247,United States,badge,10/13/2022,TLE,1828055,0,1829245
1828510,United States,award,10/13/2022,TLE,1828247,1000,1839064
1819547,India,badge,10/13/2022,Z,1827953,0,1697004
1819547,India,wish,10/13/2022,Z,1827964,0,1819522
1828247,United States,badge,10/13/2022,TLE,1828060,0,1780334
1780646,India,badge,10/14/2022,CAT,1828621,0,1646040
1827980,India,badge,10/14/2022,Z,1819547,0,1838223
1819547,India,award,10/14/2022,Z,1827980,3000,1457353
1819547,India,badge,10/14/2022,Z,1827980,0,1839014
1827980,India,badge,10/14/2022,Z,1819547,0,1892044
1819547,India,badge,10/14/2022,Z,1827980,0,1892032
1827980,India,wish,10/14/2022,Z,1819547,0,1892082
1819547,India,wish,10/14/2022,Z,1827980,0,1894631
1519300,India,badge,10/14/2022,H,1520573,0,1892337
1519300,India,badge,10/14/2022,H,1525836,0,1780724
1519300,India,badge,10/14/2022,H,1533756,0,1892846
1519300,India,badge,10/14/2022,H,1518933,0,1894131
1519300,India,badge,10/14/2022,H,1520845,0,1893172
1519300,India,badge,10/14/2022,H,1533637,0,1894965
1519300,India,badge,10/14/2022,H,1532047,0,1824681
1780335,India,badge,10/14/2022,W,1814354,0,1826200
1820659,India,award,11/14/2022,TTT,1819697,2000,1826111
1820659,India,award,10/14/2022,TTT,1819697,0,1826231
1819547,India,award,10/21/2022,Z,1827964,500,1825346
1440967,India,award,10/17/2022,E,1440847,5000,1824485
1440967,India,award,10/17/2022,E,1440847,2000,1468546
1440967,India,award,10/17/2022,E,1440847,5000,1780652
1440967,India,award,10/17/2022,E,1440847,2000,1697010
1696929,India,badge,10/17/2022,L,1760419,0,1697366
1440967,India,award,10/17/2022,E,1440847,2000,2002683
1448519,India,award,10/17/2022,E,1440839,2000,2002686
1448519,India,award,10/17/2022,E,1440840,2000,1892139
1448519,India,award,10/17/2022,E,1440842,2000,1774421
1448519,India,award,10/17/2022,E,1440847,2000,
1448519,India,award,10/17/2022,E,1440851,2000,
1448519,India,award,10/17/2022,E,1440852,2000,
1448519,India,award,10/17/2022,E,1461261,2000,
1448519,India,award,10/17/2022,E,1440862,2000,
1448519,India,award,10/17/2022,E,1461262,2000,
1448519,India,award,10/17/2022,E,1440864,2000,
1448519,India,award,10/17/2022,E,1440865,2000,
1448519,India,award,10/17/2022,E,1440866,2000,
1448519,India,award,10/17/2022,E,1440867,2000,
1448519,India,award,10/17/2022,E,1440868,2000,
1448519,India,award,10/17/2022,E,1440870,2000,
1448519,India,award,10/17/2022,E,1440871,2000,
1448519,India,award,10/17/2022,E,1440876,2000,
1448519,India,award,10/17/2022,E,1440889,2000,
1448519,India,award,10/17/2022,E,1440892,2000,
1448519,India,award,10/17/2022,E,1440979,2000,
1448519,India,award,10/17/2022,E,1440981,2000,
1448519,India,award,10/17/2022,E,1440982,2000,
1448519,India,award,10/17/2022,E,1440983,2000,
1448519,India,award,10/17/2022,E,1440984,2000,
1448519,India,award,10/17/2022,E,1440985,2000,
1448519,India,award,10/17/2022,E,1440986,2000,
1448519,India,award,10/17/2022,E,1440987,2000,
1448519,India,award,10/17/2022,E,1440998,2000,
1448519,India,award,10/17/2022,E,1441004,2000,
1448519,India,award,10/17/2022,E,1441005,2000,
1448519,India,award,10/17/2022,E,1441006,2000,
1448519,India,award,10/17/2022,E,1441047,2000,
1448519,India,award,10/17/2022,E,1441049,2000,
1448519,India,award,10/17/2022,E,1441050,2000,
1448519,India,award,10/17/2022,E,1441051,2000,
1448519,India,award,10/17/2022,E,1441052,2000,
1448519,India,award,10/17/2022,E,1441053,2000,
1448519,India,award,10/17/2022,E,1441054,2000,
1448519,India,award,10/17/2022,E,1441055,2000,
1448519,India,award,10/17/2022,E,1441056,2000,
1448519,India,award,10/17/2022,E,1441057,2000,
1448519,India,award,10/17/2022,E,1441058,2000,
1448519,India,award,10/17/2022,E,1441059,2000,
1448519,India,award,10/17/2022,E,1441060,2000,
1448519,India,award,10/17/2022,E,1441063,2000,
1448519,India,award,10/17/2022,E,1441066,2000,
1448519,India,award,10/17/2022,E,1441067,2000,
1448519,India,award,10/17/2022,E,1441070,2000,
1448519,India,award,10/17/2022,E,1441071,2000,
1448519,India,award,10/17/2022,E,1441072,2000,
1448519,India,award,10/17/2022,E,1441073,2000,
1448519,India,award,10/17/2022,E,1441075,2000,
1448519,India,award,10/17/2022,E,1441076,2000,
1448519,India,award,10/17/2022,E,1441077,2000,
1448519,India,award,10/17/2022,E,1441079,2000,
1448519,India,award,10/17/2022,E,1441080,2000,
1448519,India,award,10/17/2022,E,1441081,2000,
1448519,India,award,10/17/2022,E,1441084,2000,
1448519,India,award,10/17/2022,E,1441085,2000,
1448519,India,award,10/17/2022,E,1441086,2000,
1448519,India,award,10/17/2022,E,1441089,2000,
1448519,India,award,10/17/2022,E,1441093,2000,
1448519,India,award,10/17/2022,E,1441094,2000,
1448519,India,award,10/17/2022,E,1441098,2000,
1448519,India,award,10/17/2022,E,1441099,2000,
1448519,India,award,10/17/2022,E,1441101,2000,
1448519,India,award,10/17/2022,E,1441104,2000,
1448519,India,award,10/17/2022,E,1441105,2000,
1448519,India,award,10/17/2022,E,1441109,2000,
1448519,India,award,10/17/2022,E,1441112,2000,
1448519,India,award,10/17/2022,E,1441114,2000,
1448519,India,award,10/17/2022,E,1441115,2000,
1448519,India,award,10/17/2022,E,1441116,2000,
1448519,India,award,10/17/2022,E,1441117,2000,
1448519,India,award,10/17/2022,E,1441118,2000,
1448519,India,award,10/17/2022,E,1441119,2000,
1448519,India,award,10/17/2022,E,1441120,2000,
1448519,India,award,10/17/2022,E,1441121,2000,
1448519,India,award,10/17/2022,E,1441122,2000,
1448519,India,award,10/17/2022,E,1441124,2000,
1448519,India,award,10/17/2022,E,1441125,2000,
1448519,India,award,10/17/2022,E,1441126,2000,
1448519,India,award,10/17/2022,E,1441127,2000,
1448519,India,award,10/17/2022,E,1441128,2000,
1448519,India,award,10/17/2022,E,1441129,2000,
1448519,India,award,10/17/2022,E,1441130,2000,
1448519,India,award,10/17/2022,E,1441131,2000,
1448519,India,award,10/17/2022,E,1441132,2000,
1448519,India,award,10/17/2022,E,1441133,2000,
1448519,India,award,10/17/2022,E,1441134,2000,
1448519,India,award,10/17/2022,E,1441135,2000,
1448519,India,award,10/17/2022,E,1441138,2000,
1448519,India,award,10/17/2022,E,1441139,2000,
1448519,India,award,10/17/2022,E,1441143,2000,
1448519,India,award,10/17/2022,E,1441144,2000,
1448519,India,award,10/17/2022,E,1441145,2000,
1448519,India,award,10/17/2022,E,1441146,2000,
1448519,India,award,10/17/2022,E,1441147,2000,
1448519,India,award,10/17/2022,E,1441148,2000,
1448519,India,award,10/17/2022,E,1441149,2000,
1448519,India,award,10/17/2022,E,1441150,2000,
1448519,India,award,10/17/2022,E,1441152,2000,
1448519,India,award,10/17/2022,E,1441153,2000,
1448519,India,award,10/17/2022,E,1441156,2000,
1448519,India,award,10/17/2022,E,1441160,2000,
1448519,India,award,10/17/2022,E,1441162,2000,
1448519,India,award,10/17/2022,E,1441163,2000,
1448519,India,award,10/17/2022,E,1441165,2000,
1448519,India,award,10/17/2022,E,1441166,2000,
1448519,India,award,10/17/2022,E,1441167,2000,
1448519,India,award,10/17/2022,E,1441169,2000,
1448519,India,award,10/17/2022,E,1441170,2000,
1448519,India,award,10/17/2022,E,1441171,2000,
1448519,India,award,10/17/2022,E,1441172,2000,
1448519,India,award,10/17/2022,E,1441173,2000,
1448519,India,award,10/17/2022,E,1441174,2000,
1448519,India,award,10/17/2022,E,1441175,2000,
1448519,India,award,10/17/2022,E,1441179,2000,
1448519,India,award,10/17/2022,E,1441181,2000,
1448519,India,award,10/17/2022,E,1441182,2000,
1448519,India,award,10/17/2022,E,1441183,2000,
1448519,India,award,10/17/2022,E,1441184,2000,
1448519,India,award,10/17/2022,E,1441186,2000,
1448519,India,award,10/17/2022,E,1441187,2000,
1448519,India,award,10/17/2022,E,1441188,2000,
1448519,India,award,10/17/2022,E,1441189,2000,
1448519,India,award,10/17/2022,E,1441190,2000,
1448519,India,award,10/17/2022,E,1441191,2000,
1448519,India,award,10/17/2022,E,1441192,2000,
1448519,India,award,10/17/2022,E,1441193,2000,
1448519,India,award,10/17/2022,E,1441194,2000,
1448519,India,award,10/17/2022,E,1441198,2000,
1448519,India,award,10/17/2022,E,1441199,2000,
1448519,India,award,10/17/2022,E,1441200,2000,
1448519,India,award,10/17/2022,E,1441201,2000,
1448519,India,award,10/17/2022,E,1461266,2000,
1448519,India,award,10/17/2022,E,1441205,2000,
1448519,India,award,10/17/2022,E,1441206,2000,
1448519,India,award,10/17/2022,E,1441207,2000,
1448519,India,award,10/17/2022,E,1441209,2000,
1448519,India,award,10/17/2022,E,1441210,2000,
1448519,India,award,10/17/2022,E,1441211,2000,
1448519,India,award,10/17/2022,E,1441215,2000,
1448519,India,award,10/17/2022,E,1441222,2000,
1448519,India,award,10/17/2022,E,1441225,2000,
1448519,India,award,10/17/2022,E,1441228,2000,
1448519,India,award,10/17/2022,E,1441229,2000,
1448519,India,award,10/17/2022,E,1441230,2000,
1448519,India,award,10/17/2022,E,1441232,2000,
1448519,India,award,10/17/2022,E,1441234,2000,
1448519,India,award,10/17/2022,E,1441235,2000,
1448519,India,award,10/17/2022,E,1441237,2000,
1448519,India,award,10/17/2022,E,1441240,2000,
1448519,India,award,10/17/2022,E,1441241,2000,
1448519,India,award,10/17/2022,E,1441242,2000,
1448519,India,award,10/17/2022,E,1441244,2000,
1448519,India,award,10/17/2022,E,1441245,2000,
1448519,India,award,10/17/2022,E,1441246,2000,
1448519,India,award,10/17/2022,E,1441247,2000,
1448519,India,award,10/17/2022,E,1441248,2000,
1448519,India,award,10/17/2022,E,1441249,2000,
1448519,India,award,10/17/2022,E,1441250,2000,
1448519,India,award,10/17/2022,E,1441251,2000,
1448519,India,award,10/17/2022,E,1441252,2000,
1448519,India,award,10/17/2022,E,1441253,2000,
1448519,India,award,10/17/2022,E,1441254,2000,
1448519,India,award,10/17/2022,E,1441255,2000,
1448519,India,award,10/17/2022,E,1441256,2000,
1448519,India,award,10/17/2022,E,1441257,2000,
1448519,India,award,10/17/2022,E,1441258,2000,
1448519,India,award,10/17/2022,E,1441259,2000,
1448519,India,award,10/17/2022,E,1441260,2000,
1448519,India,award,10/17/2022,E,1441261,2000,
1448519,India,award,10/17/2022,E,1441262,2000,
1448519,India,award,10/17/2022,E,1441264,2000,
1448519,India,award,10/17/2022,E,1441265,2000,
1448519,India,award,10/17/2022,E,1441266,2000,
1448519,India,award,10/17/2022,E,1441268,2000,
1448519,India,award,10/17/2022,E,1441269,2000,
1448519,India,award,10/17/2022,E,1441270,2000,
1448519,India,award,10/17/2022,E,1441272,2000,
1448519,India,award,10/17/2022,E,1441273,2000,
1448519,India,award,10/17/2022,E,1441274,2000,
1448519,India,award,10/17/2022,E,1441275,2000,
1448519,India,award,10/17/2022,E,1441277,2000,
1448519,India,award,10/17/2022,E,1441281,2000,
1448519,India,award,10/17/2022,E,1441283,2000,
1448519,India,award,10/17/2022,E,1441285,2000,
1448519,India,award,10/17/2022,E,1441286,2000,
1448519,India,award,10/17/2022,E,1441287,2000,
1448519,India,award,10/17/2022,E,1441288,2000,
1448519,India,award,10/17/2022,E,1441296,2000,
1448519,India,award,10/17/2022,E,1441297,2000,
1448519,India,award,10/17/2022,E,1441298,2000,
1448519,India,award,10/17/2022,E,1441299,2000,
1448519,India,award,10/17/2022,E,1441301,2000,
1448519,India,award,10/17/2022,E,1441302,2000,
1448519,India,award,10/17/2022,E,1441303,2000,
1448519,India,award,10/17/2022,E,1441304,2000,
1448519,India,award,10/17/2022,E,1441305,2000,
1448519,India,award,10/17/2022,E,1441307,2000,
1448519,India,award,10/17/2022,E,1441308,2000,
1448519,India,award,10/17/2022,E,1441309,2000,
1448519,India,award,10/17/2022,E,1441311,2000,
1448519,India,award,10/17/2022,E,1441312,2000,
1448519,India,award,10/17/2022,E,1441317,2000,
1448519,India,award,10/17/2022,E,1441319,2000,
1448519,India,award,10/17/2022,E,1441324,2000,
1448519,India,award,10/17/2022,E,1441325,2000,
1448519,India,award,10/17/2022,E,1441326,2000,
1448519,India,award,10/17/2022,E,1441327,2000,
1448519,India,award,10/17/2022,E,1441328,2000,
1448519,India,award,10/17/2022,E,1441329,2000,
1448519,India,award,10/17/2022,E,1441330,2000,
1448519,India,award,10/17/2022,E,1441332,2000,
1448519,India,award,10/17/2022,E,1441333,2000,
1448519,India,award,10/17/2022,E,1441336,2000,
1448519,India,award,10/17/2022,E,1441338,2000,
1448519,India,award,10/17/2022,E,1441339,2000,
1448519,India,award,10/17/2022,E,1441342,2000,
1448519,India,award,10/17/2022,E,1441344,2000,
1448519,India,award,10/17/2022,E,1441345,2000,
1448519,India,award,10/17/2022,E,1441346,2000,
1448519,India,award,10/17/2022,E,1441348,2000,
1448519,India,award,10/17/2022,E,1441351,2000,
1448519,India,award,10/17/2022,E,1441352,2000,
1448519,India,award,10/17/2022,E,1441353,2000,
1448519,India,award,10/17/2022,E,1441354,2000,
1448519,India,award,10/17/2022,E,1441356,2000,
1448519,India,award,10/17/2022,E,1441357,2000,
1448519,India,award,10/17/2022,E,1441358,2000,
1448519,India,award,10/17/2022,E,1441359,2000,
1448519,India,award,10/17/2022,E,1441360,2000,
1448519,India,award,10/17/2022,E,1441361,2000,
1448519,India,award,10/17/2022,E,1441362,2000,
1448519,India,award,10/17/2022,E,1441364,2000,
1448519,India,award,10/17/2022,E,1441365,2000,
1448519,India,award,10/17/2022,E,1441366,2000,
1448519,India,award,10/17/2022,E,1441367,2000,
1448519,India,award,10/17/2022,E,1441368,2000,
1448519,India,award,10/17/2022,E,1441370,2000,
1448519,India,award,10/17/2022,E,1441371,2000,
1448519,India,award,10/17/2022,E,1461586,2000,
1448519,India,award,10/17/2022,E,1441375,2000,
1448519,India,award,10/17/2022,E,1441376,2000,
1448519,India,award,10/17/2022,E,1441377,2000,
1448519,India,award,10/17/2022,E,1441379,2000,
1448519,India,award,10/17/2022,E,1441380,2000,
1448519,India,award,10/17/2022,E,1441381,2000,
1448519,India,award,10/17/2022,E,1441382,2000,
1448519,India,award,10/17/2022,E,1441384,2000,
1448519,India,award,10/17/2022,E,1441385,2000,
1448519,India,award,10/17/2022,E,1441386,2000,
1448519,India,award,10/17/2022,E,1441387,2000,
1448519,India,award,10/17/2022,E,1441388,2000,
1448519,India,award,10/17/2022,E,1441389,2000,
1448519,India,award,10/17/2022,E,1441391,2000,
1448519,India,award,10/17/2022,E,1441395,2000,
1448519,India,award,10/17/2022,E,1441396,2000,
1448519,India,award,10/17/2022,E,1441397,2000,
1448519,India,award,10/17/2022,E,1441398,2000,
1448519,India,award,10/17/2022,E,1441399,2000,
1448519,India,award,10/17/2022,E,1441403,2000,
1448519,India,award,10/17/2022,E,1441404,2000,
1448519,India,award,10/17/2022,E,1441405,2000,
1448519,India,award,10/17/2022,E,1441406,2000,
1448519,India,award,10/17/2022,E,1441407,2000,
1448519,India,award,10/17/2022,E,1441409,2000,
1448519,India,award,10/17/2022,E,1441411,2000,
1448519,India,award,10/17/2022,E,1441413,2000,
1448519,India,award,10/17/2022,E,1441414,2000,
1448519,India,award,10/17/2022,E,1441416,2000,
1448519,India,award,10/17/2022,E,1441417,2000,
1448519,India,award,10/17/2022,E,1441419,2000,
1448519,India,award,10/17/2022,E,1441420,2000,
1448519,India,award,10/17/2022,E,1441421,2000,
1448519,India,award,10/17/2022,E,1441422,2000,
1448519,India,award,10/17/2022,E,1441423,2000,
1448519,India,award,10/17/2022,E,1441424,2000,
1448519,India,award,10/17/2022,E,1441425,2000,
